month,RR,NBJRR1,NBJRR5,NBJRR10,NBJBROU
1950-01,2.6866666666666665,5.666666666666667,2.4444444444444446,0.2222222222222222,0.0
1950-02,6.876666666666667,14.11111111111111,5.111111111111111,1.3333333333333333,0.0
1950-03,2.0155555555555558,4.555555555555555,1.0,0.7777777777777778,0.0
1950-04,7.182222222222222,11.333333333333334,4.777777777777778,2.4444444444444446,0.0
1950-05,5.113333333333333,9.0,4.0,1.3333333333333333,0.0
1950-06,3.7944444444444443,7.333333333333333,1.6666666666666667,0.4444444444444444,0.0
1950-07,6.525714285714286,9.285714285714286,4.285714285714286,2.5714285714285716,0.0
1950-08,5.25,10.88888888888889,3.0,1.3333333333333333,0.0
1950-09,9.50111111111111,13.444444444444445,6.222222222222222,3.111111111111111,0.0
1950-10,1.32125,5.375,0.0,0.0,0.0
1950-11,6.457777777777777,14.0,3.7777777777777777,1.5555555555555556,0.0
1950-12,7.525555555555556,11.666666666666666,5.444444444444445,2.0,0.0
1951-01,3.6955555555555555,10.555555555555555,2.0,0.3333333333333333,0.0
1951-02,6.217777777777778,14.88888888888889,5.333333333333333,0.3333333333333333,0.0
1951-03,5.546666666666667,12.333333333333334,4.222222222222222,0.4444444444444444,0.0
1951-04,4.138888888888889,10.444444444444445,2.5555555555555554,0.4444444444444444,0.0
1951-05,9.914444444444445,14.777777777777779,7.111111111111111,3.0,0.0
1951-06,9.357777777777777,9.88888888888889,6.0,3.3333333333333335,0.0
1951-07,3.7455555555555557,4.444444444444445,1.8888888888888888,1.3333333333333333,0.0
1951-08,11.54888888888889,11.777777777777779,6.555555555555555,3.3333333333333335,0.0
1951-09,4.085555555555556,6.666666666666667,2.888888888888889,1.2222222222222223,0.0
1951-10,2.5133333333333336,4.777777777777778,1.2222222222222223,1.0,0.0
1951-11,6.45,13.555555555555555,4.555555555555555,1.5555555555555556,0.0
1951-12,4.038888888888889,7.222222222222222,2.888888888888889,0.7777777777777778,0.0
1952-01,5.748888888888889,12.555555555555555,4.111111111111111,0.7777777777777778,0.0
1952-02,3.9712500000000004,6.625,3.75,0.875,0.0
1952-03,7.827777777777778,12.555555555555555,6.777777777777778,1.7777777777777777,0.0
1952-04,0.7477777777777779,3.3333333333333335,0.1111111111111111,0.0,0.0
1952-05,3.3855555555555554,7.0,2.4444444444444446,0.5555555555555556,0.0
1952-06,3.88125,5.0,3.125,0.75,0.0
1952-07,1.12625,2.0,0.625,0.25,0.0
1952-08,6.742222222222222,11.11111111111111,3.4444444444444446,1.4444444444444444,0.0
1952-09,9.774444444444445,13.11111111111111,9.11111111111111,2.6666666666666665,0.0
1952-10,7.064444444444444,11.88888888888889,4.444444444444445,1.8888888888888888,0.0
1952-11,8.498888888888889,10.222222222222221,5.888888888888889,3.6666666666666665,0.0
1952-12,7.783333333333333,12.777777777777779,3.888888888888889,2.111111111111111,0.0
1953-01,1.5116666666666667,4.333333333333333,0.6666666666666666,0.0,0.0
1953-02,2.1671428571428573,5.428571428571429,1.7142857142857142,0.0,0.0
1953-03,0.005714285714285714,0.0,0.0,0.0,0.0
1953-04,5.13,9.5,3.3333333333333335,1.3333333333333333,0.0
