task,horizon,model,seed,epochs_ran,best_val_loss,test_mse_scaled,test_mae_scaled,test_mse_original,test_mae_original,checkpoint_dir,figure_path
long,365,conv_transformer,13,10,0.4508882959683736,0.43174630403518677,0.5035715699195862,179267.2026638798,324.48698636904913,experiments/checkpoints/long_conv_transformer_seed13,experiments/figures/long_conv_transformer_seed13_sample0.png
long,365,conv_transformer,2026,16,0.45814432700475055,0.37901830673217773,0.47185999155044556,157373.75863479153,304.0529717847308,experiments/checkpoints/long_conv_transformer_seed2026,experiments/figures/long_conv_transformer_seed2026_sample0.png
long,365,conv_transformer,42,10,0.5169206162293752,0.37496089935302734,0.46546313166618347,155689.07955687173,299.93101758008197,experiments/checkpoints/long_conv_transformer_seed42,experiments/figures/long_conv_transformer_seed42_sample0.png
long,365,conv_transformer,7,10,0.4836929440498352,0.37670236825942993,0.4652150869369507,156412.17259736988,299.7711861266745,experiments/checkpoints/long_conv_transformer_seed7,experiments/figures/long_conv_transformer_seed7_sample0.png
long,365,conv_transformer,99,13,0.4675511121749878,0.430314838886261,0.5067239999771118,178672.82162858322,326.51832536849315,experiments/checkpoints/long_conv_transformer_seed99,experiments/figures/long_conv_transformer_seed99_sample0.png
long,365,lstm,13,11,0.4844953219095866,0.4689769446849823,0.5287351012229919,194725.87988625665,340.7016692193901,experiments/checkpoints/long_lstm_seed13,experiments/figures/long_lstm_seed13_sample0.png
long,365,lstm,2026,11,0.48691142598787945,0.4728460907936096,0.5330243706703186,196332.40947019838,343.46554937716024,experiments/checkpoints/long_lstm_seed2026,experiments/figures/long_lstm_seed2026_sample0.png
long,365,lstm,42,11,0.47370120882987976,0.4307706654071808,0.5034050941467285,178862.0898015428,324.3797185150076,experiments/checkpoints/long_lstm_seed42,experiments/figures/long_lstm_seed42_sample0.png
long,365,lstm,7,14,0.48019853234291077,0.41230377554893494,0.4915725290775299,171194.37945348155,316.75515914043723,experiments/checkpoints/long_lstm_seed7,experiments/figures/long_lstm_seed7_sample0.png
long,365,lstm,99,11,0.4822925229867299,0.511620819568634,0.5588996410369873,212432.21961602694,360.13884576491233,experiments/checkpoints/long_lstm_seed99,experiments/figures/long_lstm_seed99_sample0.png
long,365,transformer,13,21,0.5068761805693308,0.45826905965805054,0.5244767069816589,190279.81839743213,337.95766936723163,experiments/checkpoints/long_transformer_seed13,experiments/figures/long_transformer_seed13_sample0.png
long,365,transformer,2026,9,0.5979267160097758,0.49033409357070923,0.5440793037414551,203593.679675016,350.5889950922766,experiments/checkpoints/long_transformer_seed2026,experiments/figures/long_transformer_seed2026_sample0.png
long,365,transformer,42,14,0.581720381975174,0.4116104245185852,0.4961753487586975,170906.4903391134,319.72108981972235,experiments/checkpoints/long_transformer_seed42,experiments/figures/long_transformer_seed42_sample0.png
long,365,transformer,7,14,0.5525824626286825,0.40070784091949463,0.4848223328590393,166379.57727463695,312.40551894376654,experiments/checkpoints/long_transformer_seed7,experiments/figures/long_transformer_seed7_sample0.png
long,365,transformer,99,12,0.5589321851730347,0.3914727568626404,0.47600114345550537,162545.04847831253,306.7214053009787,experiments/checkpoints/long_transformer_seed99,experiments/figures/long_transformer_seed99_sample0.png
short,90,conv_transformer,13,16,0.5023766358693441,0.48723405599594116,0.5345053672790527,202306.49886282676,344.41987053383735,experiments/checkpoints/short_conv_transformer_seed13,experiments/figures/short_conv_transformer_seed13_sample0.png
short,90,conv_transformer,2026,12,0.46108214060465497,0.5308126211166382,0.580234944820404,220400.91291002167,373.88669387525124,experiments/checkpoints/short_conv_transformer_seed2026,experiments/figures/short_conv_transformer_seed2026_sample0.png
short,90,conv_transformer,42,12,0.45574618379275006,0.5699394941329956,0.6004983186721802,236646.95302153134,386.94379363307144,experiments/checkpoints/short_conv_transformer_seed42,experiments/figures/short_conv_transformer_seed42_sample0.png
short,90,conv_transformer,7,12,0.4687241017818451,0.3947058618068695,0.4945935010910034,163887.47237379465,318.7018066569628,experiments/checkpoints/short_conv_transformer_seed7,experiments/figures/short_conv_transformer_seed7_sample0.png
short,90,conv_transformer,99,9,0.4373432993888855,0.576894223690033,0.606111466884613,239534.6707932677,390.56072775724033,experiments/checkpoints/short_conv_transformer_seed99,experiments/figures/short_conv_transformer_seed99_sample0.png
short,90,lstm,13,13,0.5450249711672465,0.6996268630027771,0.664348840713501,290494.9824912297,428.0872121494214,experiments/checkpoints/short_lstm_seed13,experiments/figures/short_lstm_seed13_sample0.png
short,90,lstm,2026,13,0.5139450331528982,0.7132810354232788,0.680384635925293,296164.3715417476,438.42025169489676,experiments/checkpoints/short_lstm_seed2026,experiments/figures/short_lstm_seed2026_sample0.png
short,90,lstm,42,12,0.5103034575780233,0.6819148659706116,0.6582791805267334,283140.7284060418,424.17613109266637,experiments/checkpoints/short_lstm_seed42,experiments/figures/short_lstm_seed42_sample0.png
short,90,lstm,7,12,0.47194765011469525,0.6770516633987427,0.6642299890518188,281121.4465029867,428.010630069586,experiments/checkpoints/short_lstm_seed7,experiments/figures/short_lstm_seed7_sample0.png
short,90,lstm,99,13,0.5000914931297302,0.694413959980011,0.6662268042564392,288330.5351094791,429.2973257194267,experiments/checkpoints/short_lstm_seed99,experiments/figures/short_lstm_seed99_sample0.png
short,90,transformer,13,9,0.5496441622575124,0.6186593174934387,0.6291223764419556,256876.1205213213,405.38827920677744,experiments/checkpoints/short_transformer_seed13,experiments/figures/short_transformer_seed13_sample0.png
short,90,transformer,2026,11,0.5143684049447378,0.665195643901825,0.6630873084068298,276198.6677698082,427.274351390793,experiments/checkpoints/short_transformer_seed2026,experiments/figures/short_transformer_seed2026_sample0.png
short,90,transformer,42,11,0.4916624029477437,0.7511245012283325,0.7096929550170898,311877.5321251835,457.30567245522394,experiments/checkpoints/short_transformer_seed42,experiments/figures/short_transformer_seed42_sample0.png
short,90,transformer,7,11,0.5412118832270304,0.7317100763320923,0.6955307126045227,303816.4074505243,448.17991580626966,experiments/checkpoints/short_transformer_seed7,experiments/figures/short_transformer_seed7_sample0.png
short,90,transformer,99,10,0.48335642615954083,0.7570387721061707,0.7119904160499573,314333.2377932054,458.78608956054705,experiments/checkpoints/short_transformer_seed99,experiments/figures/short_transformer_seed99_sample0.png
